7T_MOVIE1_CC1_v2 Video Timing,,,,All times in seconds
movie.block,block start time,block end time,block duration,Block = clip within movie
0,0,19.9583,19.9583,0 = 20s REST block between clips
1.1,20,264.0417,244.0417,
0,264.0833,284.0417,19.9583,
1.2,284.0833,505.7083,221.625,
0,505.75,525.7083,19.9583,
1.3,525.75,713.75,188,
0,713.7917,733.75,19.9583,
1.4,733.7917,797.5417,63.75,
0,797.5833,817.5417,19.9583,
1.5,817.5833,900.9583,83.375,
0,901,920.9583,19.9583,
,,,,
7T_MOVIE2_HO1_v2 Video Timing,,,,
0,0,19.9583,19.9583,
2.1,20,246.7083,226.7083,
0,246.75,266.7083,19.9583,
2.2,266.75,525.3333,258.5833,
0,525.375,545.3333,19.9583,
2.3,545.375,794.5833,249.2083,
0,794.625,814.5417,19.9167,
2.4,814.5833,897.9583,83.375,
0,898,917.9583,19.9583,
,,,,
7T_MOVIE3_CC2_v2 Video Timing,,,,
0,0,19.9583,19.9583,
3.1,20,200.5417,180.5417,
0,200.5833,220.5417,19.9583,
3.2,220.5833,405.0833,184.5,
0,405.125,425.0833,19.9583,
3.3,425.125,629.2083,204.0833,
0,629.25,649.2083,19.9583,
3.4,649.25,791.75,142.5,
0,791.7917,811.5417,19.75,
3.5,811.5833,894.9583,83.375,
0,895,914.9583,19.9583,
,,,,
7T_MOVIE4_HO2_v2 Video Timing,,,,
0,0,19.9583,19.9583,
4.1,20,252.2917,232.2917,
0,252.3333,272.2917,19.9583,
4.2,272.3333,502.1667,229.8333,
0,502.2083,522.1667,19.9583,
4.3,522.2083,777.375,255.1667,
0,777.4167,797.5417,20.125,
4.4,797.5833,880.9583,83.375,
0,881,900.9583,19.9583,
