,Start Frame,End Frame,Total Duration,FPS,URL
7T_MOVIE1_CC1,,,,,
Two_Men,0,5858,5859,25,http://vimeo.com/17970306 
Welcome_To_Bridgeville,0,5320,5321,23.98,http://vimeo.com/31318354 
Pockets,0,4513,4514,25,http://vimeo.com/14216866 
Inside_the_Human_Body,0,1530,1531,25,http://vimeo.com/24930096 
Vimeo_Repeat,,,2002,23.98,
,,,,,
7T_MOVIE2_HO1,,,,,
Inception_1,41843,47285,5443,23.98,
Social_Network_1,24827,31034,6208,23.98,
Ocean's_Eleven_1,9649,15741,6093,23.98,
Vimeo_Repeat,,,2002,23.98,
,,,,,
7T_MOVIE3_CC2,,,,,
Off_The_Shelf,0,4334,4335,23.98,http://vimeo.com/1157737
1212,0,4429,4430,23.98,http://vimeo.com/47704935 
Mrs_Meyers_Clean_Day,0,4899,4900,23.98,http://vimeo.com/63405160 
Northwest_Passage,0,4277,4278,30,http://vimeo.com/11363537 
Vimeo_Repeat,0,2002,2002,23.98,
,,,,,
7T_MOVIE4_HO2,,,,,
Home_Alone_1,25448,31024,5577,23.98,
Erin_Brockovich_2,125815,131332,5518,23.98,
Empire_Strikes_Back_1,3625,9750,6126,23.98,
Vimeo_Repeat,,,2002,23.98,
,,,,,
,,,,,
Vimeo_Repeat,,,,,
J.L. Powell 23 Degrees South ,0,596,597,23,http://vimeo.com/33051721 
LXIV,2454,3858,1405,25,http://vimeo.com/19009646
