,LongName,Description,Levels,Unit,RangeMin,RangeMax
trialNum,Trial Number,Trial Number (indexed separately by task vs. distractor),,,,
block,Block Type,Block type of trial,"{""MEMORIZE"": ""Memorize Face / name pairs"", ""RECALL"":""Recall Face / name pairs"", ""GoNogoDistractor"": ""Distraction blocks""}",,,
stim,Stimulus,Filename of presented stimulus image (face or shape),,,,
FaceLabel,Face Label,"Text displayed during trial (""Name"" during MEMORIZE blocks or ""???"" during RECALL blocks)",,,,
countdownStartTime,Countdown Start Time,Start Time of countdown number display,,seconds,,
countdownLabel,Countdown Label,Number shown for start of task countdown,,,,
cueStartTime,Cue Start Time,Start time of block cue presentation,,seconds,,
cueEndTime,Cue End Time,End time of block cue presentation,,seconds,,
faceStartTime,Face Start Time,Start time of face presentation,,seconds,,
faceEndTime,Face End Time,End time of face presentation,,seconds,,
gngShapeStartTime,GNG Shape Start Time,Start time of Go/Nogo Distractor Shape,,seconds,,
gngShapeEndTime,GNG Shape End Time,Start time of Go/Nogo Distractor Shape,,seconds,,
fixStartTime,GNG Fixation Start Time,Start time of Go/Nogo Distractor Fixation,,seconds,,
fixEndTime,GNG Fixation End Time,Start time of Go/Nogo Distractor Fixation,,seconds,,
runEndTime,Run End Time,End Time of Run (run duration),,seconds,,
resp,Response,"Press indicator - blank if no response or ""press"" if participant responded",,,,
trialResp.keys,Trial Response Keys,List of all presses occuring during trial,,,,
trialResp.rt,Trial Response RTs,"List of all press RTs occuring during trial relative to start of trial (""faceStartTime"")",,seconds,0,4
corrAns,GNG Correct Answer,"GNG Expected Correct Answer (1 during go trials, blank during  nogo trials)",,,,
ISI,GNG Expected ISI,GNG Expected ISI,,seconds,,
respGNG.keys,GNG Response Keys,List of all presses occuring during GNG trial,,,,
respGNG.corr,GNG Response Correct,Outcome of GNG Trial,"{""0"":""Incorrect"", ""1"":""Correct""}",,,
respGNG.rt,GNG Response RT,List of all press RTs occuring during GNG trial,,seconds,0,0.8
isiPress.keys,GNG ISI Press Keys,List of all presses occuring during GNG fixation,,,,
isiPress.rt,GNG ISI Press RTs,List of all press RTs occuring during GNG fixation. Total fixation range is variable and determined by column ISI,,seconds,0,4
runNum,Run,Current Run,,,,
mriMode,MRI Mode,Internal indicator for scan vs. behavioral practice task version,"{""scan"":""Task is run in the scanner; wait for trigger"", ""practice"":""Task is run as practice""}",,,
frameRate,Frame Rate,Measured Frame Rate (psychopy),,Hz,,
expName,Experiment Name,Short Experiment Label,,,,
triggerWallTime,Trigger Wall Time,"""Real-world"" time at which current run's trigger was received",,,,
counterbalance,Counterbalance,Counterbalance order,"{""CB1"":""CB1"", ""CB2"":""CB2""}",,,
git-revision,Git Revision,Task Version (git commit short hash),,,,
date,Date,Date-time experiment script was launched (multiple runs will share date),,,,
sessionID,Session ID,Subject Session Identifier,,,,
